,Реестровый номер закупки,Наименование закупки,Классификация по ОКПД2,Дата размещения
1241,№0139300032424000003,"Оказание услуг по технической поддержке программного обеспечения системы электронного документооборота ""еЛогика""","62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",22.01.2024
1242,№2057500000124000004,"Оказание услуг по адаптации и сопровождению  экземпляров Систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у заказчика экземплярами Системы КонсультантПлюс",62.03.12.130: Услуги по сопровождению компьютерных систем,22.01.2024
1243,№0117100008424000001,Оказание услуг по производству и размещению контента социальной рекламы по безопасности дорожного движения в социальных сетях и интернет-изданиях,63.11.12.000: Услуги по размещению в информационно-коммуникационной сети Интернет,30.01.2024
1244,№0891200000624000305,"Оказание услуг по адаптации и сопровождению справочно-правовой системы ""Консультант Плюс"" (00000267-ЭА)",62.02.20.190: Услуги консультативные в области компьютерных технологий прочие,30.01.2024
1245,№0801200003924000001,"Оказание услуг по сопровождению подсистемы «Единая система учета детей и подростков Республики Башкортостан, нуждающихся и пользующихся услугами в сфере отдыха и оздоровления» государственной информационной системы «Единая электронная образовательная среда Республики Башкортостан»","62.09.2: Услуги в области информационных технологий и компьютерные услуги прочие, не включенные в другие группировки",30.01.2024
1246,№0809500000324000086,"оказание услуг по техническому сопровождению медицинской информационной системы ""Интрамед""",62.03.12.120: Услуги по управлению компьютерными системами дистанционно,30.01.2024
1247,№0139200000124000395,Сопровождение программного обеспечения,62.02.30.000: Услуги по технической поддержке информационных технологий,30.01.2024
1248,№0318200016524000001,Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»,62.02.30.000: Услуги по технической поддержке информационных технологий,22.01.2024
1249,№0180300000224000009,"Услуги по адаптации и модификации программных продуктов ""1С: Бухгалтерия государственного учреждения 8"", ""1С: Зарплата и кадры государственного учреждения 8""","62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",30.01.2024
1250,№0362300300224000006,Оказание услуг по информационно-техническому сопровождению «1С: Предприятие» (КП ЦГУ подписка на 12 месяцев),62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,22.01.2024
1251,№0304200023624000002,"Услуги по техническому сопровождению при эксплуатации специального программного обеспечения информационной системы, выполняющей функции региональной государственной информационной системы в сфере здравоохранения ","62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",19.01.2024
1252,№0301300001324000001,"Передача неисключительных прав использования (простая неисключительная лицензия) электронной базы данных, содержащей актуальную консультационную и нормативно-правовую информацию по основным направлениям деятельности заместителя главного врача и врача медорганизаций (бюджетных, казенных, муниципальных, федерального подчинения, коммерческих)","63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки",18.01.2024
1253,№32413225588,Предоставление прав на использование программ и сметных баз данных «ГРАНД-Смета» для нужд филиала ПАО «Россети Волга» - «Чувашэнерго» (242114/3),"63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки",29.01.2024
1254,№32413225599,"Услуги по комплексной поддержке и обслуживанию электронных ресурсов заказчика, размещенных в телекоммуникационной сети Интернет",62.09: Услуги в области информационных технологий прочие и компьютерные услуги,29.01.2024
1255,№0318300353424000006,Передача Сертификата на оказание услуг по мониторингу событий информационной безопасности объектов ЗСПД и комплексному техническому сопровождению СОИБ,62.02.30.000: Услуги по технической поддержке информационных технологий,29.01.2024
1256,№32413225377,Оказание услуг по сопровождению и техническому обслуживанию программных продуктов,62.03.12.130: Услуги по сопровождению компьютерных систем,29.01.2024
1257,№32413225549,"Оказание услуг по внедрению и сопровождению системы управления для нужд Автономного учреждения ""Медиа-центр Орехово-Зуевского городского округа Московской области"" на 2024 г.",63.12.10.000: Содержание порталов в информационно-коммуникационной сети Интернет,29.01.2024
1258,№32413201591,Конкурс в электронной форме участниками которого могут быть только субъекты малого и среднего предпринимательства на право заключения договора на выполнение работ по внедрению информационной системы для подготовки тарифных заявок (сводного шаблона) в сферах холодного водоснабжения и водоотведения в 2024-2025 годах,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,22.01.2024
1259,№0360200020124000008,Оказание услуги по технической поддержке электронного периодического справочника «Система Гарант»,62.02.30.000: Услуги по технической поддержке информационных технологий,29.01.2024
1260,№0152200004724000005,"Оказание услуг по техническому сопровождению и обновлению государственной информационной системы Омской области ""Единая государственная информационная система бюджетного, бухгалтерского учета Омской области"" (Реестровый номер 24.32.0001)",62.02.30.000: Услуги по технической поддержке информационных технологий,18.01.2024
1261,№0318200075824000001,Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»,62.02.30.000: Услуги по технической поддержке информационных технологий,22.01.2024
1262,№0373100099924000003,"Оказание услуг по информационному обслуживанию (оптимизация, модернизация, развитие и поддержание в работоспособном состоянии) информационных систем РХТУ им. Д.И. Менделеева",62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,24.01.2024
1263,№32413224183,"210953_Лицензирование прикладного программного обеспечения для АО ""ТГК-11""",62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,29.01.2024
1264,№0190200000324000506,Оказание услуг по сопровождению государственной информационной системы обеспечения градостроительной деятельности Ямало-Ненецкого автономного,62.03.12.130: Услуги по сопровождению компьютерных систем,29.01.2024
1265,№0348200086524000004,"Оказание услуг по технической поддержке системы LEAD WMS SE версия Фарм для нужд ГБУ МО ""МОСОБЛМЕДСЕРВИС"" на 2024 г.","62.01.1: Услуги по проектированию, разработке информационных технологий для прикладных задач и тестированию программного обеспечения",29.01.2024
1266,№0301300092724000001,"Оказание услуг, обеспечивающих эффективную эксплуатацию персоналом Заказчика Государственной информационной системы в сфере здравоохранения Республики Башкортостан в первом полугодии 2024 года",62.02.30.000: Услуги по технической поддержке информационных технологий,22.01.2024
1267,№0372200030624000005,Оказание услуг по техническому обслуживанию и сопровождению Медицинской и Лабораторной информационной системы «Ариадна» для нужд СПб ГБУЗ «Городская поликлиника №74» в 2024 году,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",29.01.2024
1268,№0816500000624000254,"Оказание услуг по сопровождению, администрированию в части расширения числа рабочих мест программы для ЭВМ, Учет и администрирование поступлений в бюджетную систему (Администратор Д) с предоставлением неисключительных (пользовательских) прав на использование","62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",29.01.2024
1269,№0304200020224000001,"Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными в Государственном казенном учреждении ""Кабардино-Балкарская противопожарно-спасательная служба"" экземплярами систем КонсультантПлюс (в том числе специальной копией Системы КонсультантПлюс)  для нужд Государственного казенного учреждения ""Кабардино-Балкарская противопожарно-спасательная служба""",62.03.12.130: Услуги по сопровождению компьютерных систем,29.01.2024
1270,№0318200023024000002,Продление лицензий на антивирусное ПО Kaspersky Endpoint Security для бизнеса.,62.01.29.000: Оригиналы программного обеспечения прочие,29.01.2024
1271,№0190300000224000010,"Оказание услуг по комплексному информационно-техническому сопровождению программных продуктов системы ""1С:Предприятие 8.3.""",62.03.12.130: Услуги по сопровождению компьютерных систем,29.01.2024
1272,№0387200021524000001,Оказание услуг по адаптации и сопровождению экземпляров систем «КонсультантПлюс»,62.03.12.130: Услуги по сопровождению компьютерных систем,29.01.2024
1273,№32413224374,"Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у заказчика экземплярами Систем КонсультантПлюс",62.03.12.130: Услуги по сопровождению компьютерных систем,29.01.2024
1274,№0184200000624000087,"Услуги по технической поддержке информационных технологий (оказание услуг по сопровождению, технической поддержке и сервисному обслуживанию программы управления Интерактивным порталом службы занятости населения Ненецкого автономного округа)",62.02.30.000: Услуги по технической поддержке информационных технологий,29.01.2024
1275,№0133200001724000219,Оказание услуг по технической поддержке и техническому сопровождению защищенной сети передачи данных судебных участков мировых судей Ивановской области,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",29.01.2024
1276,№0818500002824000001,Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»,62.02.30.000: Услуги по технической поддержке информационных технологий,22.01.2024
1277,№0301300410624000006,"Оказание услуг, обеспечивающих эффективную эксплуатацию персоналом заказчика Государственной информационной системы в сфере здравоохранения Республики Башкортостан используемой ГБУЗ РБ Балтачевской ЦРБ",62.02.30.000: Услуги по технической поддержке информационных технологий,17.01.2024
1278,№0324300098824000004,Оказание информационных услуг с использованием экземпляров Специальных Выпусков Системы КонсультантПлюс,62.03.12.130: Услуги по сопровождению компьютерных систем,22.01.2024
1279,№32413225255,"Выполнение работ по теме: Определение участков с наиболее характерными деформациями покрытия и земляного полотна участков автодороги Чита-Хабаровск км 380 - км 678, км 756 – км 1325",63.99.10.110: Услуги по поиску информации за вознаграждение или на договорной основе,29.01.2024
1280,№32413225221,Выполнение работ по редизайну инвестиционного портала Тульской области www.invest-tula.com,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,29.01.2024
1281,№0250200000124000003,Оказание услуг по обновлению и сопровождению автоматизированной информационной системы «Информационное сопровождение застрахованных лиц при организации оказания им медицинской помощи страховыми медицинскими организациями в сфере обязательного медицинского страхования»,62.02.30.000: Услуги по технической поддержке информационных технологий,29.01.2024
1282,№0160300057524000002,"Оказание услуг по обновлению и обслуживанию ранее установленных электронных баз данных Электронного периодического справочника ""Система ГАРАНТ""",62.03.12.130: Услуги по сопровождению компьютерных систем,29.01.2024
1283,№0121100006224000001,"Услуги по адаптации и сопровождению экземпляров Систем ""Консультант Плюс"" (в т.ч. специальной копии системы), оказываемых на основе специального лицензионного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем (в сфере ИКТ)",62.03.12.130: Услуги по сопровождению компьютерных систем,29.01.2024
1284,№0134300097524000002,Оказание услуг по подготовке и размещению информационных материалов о деятельности администрации города Иркутска в периодическом печатном издании,"63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям",29.01.2024
1285,№0815500000524000539,Оказание услуг по обновлению и сопровождению информационных подсистем Республиканской медицинской информационной системы для медицинских организаций Чувашской Республики,"63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки",29.01.2024
1286,№0338200004524000002,"Оказание услуг по комплексному обслуживанию и системному администрированию информационно-технической инфраструктуры (локальной вычислительной сети, средств вычислительной техники, серверного оборудования, оборудования телекоммуникационных систем, печатающих устройств, программного обеспечения)",62.02.30.000: Услуги по технической поддержке информационных технологий,29.01.2024
1287,№0826500000924000234,Оказание услуг по сопровождению лабораторной информационной системы «Акросс-Клиническая лаборатория (АКЛ)»,62.02.30.000: Услуги по технической поддержке информационных технологий,29.01.2024
1288,№0116300000124000014,Оказание услуг по предоставлению доступа к системе СПАРК,62.01.29.000: Оригиналы программного обеспечения прочие,22.01.2024
1289,№0362100043524000001,"Оказание услуг по техническому и информационному обеспечению сбора и анализа государственной и отраслевой статистической отчетности обобщаемой в Росводресурсах с использованием информационной системы ""ИС-Статотчетность"" за IV квартал 2023 года, 2023 год в целом и I-III кварталы 2024 года",62.02.30.000: Услуги по технической поддержке информационных технологий,29.01.2024
1290,№0116300005224000004,Оказание услуг по адаптации и сопровождению экземпляров Систем Консультант Плюс на основе специального лицензирования программного обеспечения для нужд МКУ ЦБОР,62.03.12.130: Услуги по сопровождению компьютерных систем,29.01.2024
1291,№0306300045724000001,"Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс:  (в том числе установленной на электронном устройстве заказчика специальной копией Системы КонсультантПлюс, дающей возможность в любое время пользоваться минимально необходимым объёмом правовой информации) для нужд  Муниципальному казенному учреждению Пряжинского национального муниципального района ""Центр информационного и хозяйственного обеспечения деятельности учреждений Пряжинского национального муниципального района""",62.03.12.130: Услуги по сопровождению компьютерных систем,18.01.2024
1292,№0815500000524000243,"Сопровождение справочно-информационно базы ""Гарант""",62.03.12.130: Услуги по сопровождению компьютерных систем,22.01.2024
1293,№0372200130724000001,Оказание услуг по сопровождению сегмента Единой системы электронного документооборота и делопроизводства исполнительных органов государственной власти Санкт-Петербурга для нужд Санкт-Петербургского государственного бюджетного учреждения здравоохранения «Детский центр восстановительной медицины и реабилитации №3» в 2024 году,62.03.12.120: Услуги по управлению компьютерными системами дистанционно,29.01.2024
1294,№0129300016724000012,"Оказание услуг на приобретение неисключительных прав ""1С: КП ЦГУ"" для программных продуктов ""1С: Предприятие 8""",62.03.12.130: Услуги по сопровождению компьютерных систем,29.01.2024
1295,№0338200004524000001,"Оказание услуг по комплексному обслуживанию и системному администрированию информационно-технической инфраструктуры (локальной вычислительной сети, средств вычислительной техники, серверного оборудования, оборудования телекоммуникационных систем, печатающих устройств, программного обеспечения)",62.02.30.000: Услуги по технической поддержке информационных технологий,29.01.2024
1296,№0818300021524000016,Оказание услуг по информационному обновлению и сопровождению программного продукта «Комплексная система автоматизации управления бюджетными учреждениями «Талисман SQL»,62.03.12.130: Услуги по сопровождению компьютерных систем,29.01.2024
1297,№0187200001724000020,Оказание услуг по сопровождению государственной информационной системы обеспечения градостроительной деятельности Ханты-Мансийского автономного округа – Югры,62.03.12.130: Услуги по сопровождению компьютерных систем,24.01.2024
1298,№0851200000624000036,"Оказание услуг средства массовой информации по подготовке и размещению в сетевом издании и социальных сетях информационных материалов о деятельности Законодательного Собрания Новосибирской области, депутатов Законодательного Собрания Новосибирской области, о совершенствовании законодательства Новосибирской области, об общественно-политической ситуации и социально-экономическом развитии Новосибирской области.","63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки",19.01.2024
1299,№0366200035624000247,на оказание услуг по передаче неисключительных прав и сопровождению программного комплекса для автоматизированного расчета и выпуска сметной документации «ГРАНД-Смета»,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",29.01.2024
1300,№32413224891,"Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у Заказчика экземплярами Систем КонсультантПлюс (в том числе установленной на электронном устройстве заказчика специальной копией Системы)",62.03.12.130: Услуги по сопровождению компьютерных систем,29.01.2024
1301,№0304200004524000006,"Оказание услуги по техническому сопровождению при эксплуатации специального программного обеспечения информационной системы, выполняющей функции региональной государственной информационной системы в сфере здравоохранения.",62.02.30.000: Услуги по технической поддержке информационных технологий,29.01.2024
1302,№0129200003724000007,Услуги информационных агентств для обеспечения государственных нужд Волгоградской областной Думы,"63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям",18.01.2024
1303,№32413224870,Конкурс в электронной форме на право заключения договора на выполнение работ по развитию и поддержанию работоспособности программно-аппаратных комплексов в составе Корпоративной Информационной Системы Управления в 2024 - 2025 годах,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения; 62.02.30.000: Услуги по технической поддержке информационных технологий,29.01.2024
1304,№32413224841,"Оказание услуг по разработке, адаптации, модификации и сопровождению программного обеспечения ""1С:Предприятие"" для нужд Воронежского филиала РЭУ им. Г.В. Плеханова",62.03.12.130: Услуги по сопровождению компьютерных систем,29.01.2024
1305,№32413223796,"Право на использование программных продуктов: Инвентаризация, ПДВ-Эколог, УПРЗА-Эколог, Деревообработка, Результаты инструментального определения выбросов , средние среднесуточные, справочник 6.0, ГИС Стандарт 1.0 для нужд ФГБУ ""ЦЛАТИ по УФО""",62.01.29.000: Оригиналы программного обеспечения прочие,29.01.2024
1306,№0348100073024000008,"Информационное сопровождение в средствах массовой информации ""Интернет"" реализации мероприятий по обеспечению безопасности дорожного движения","63.91.12.000: Услуги информационных агентств, предоставляемые аудиовизуальным средствам массовой информации",29.01.2024
1307,№0357200009524000002,"Оказание услуг по адаптации и сопровождению экземпляров Систем Консультант Плюс на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными в ГКУ ПО ""ОЦЗН"" экземплярами Систем КонсультантПлюс (в том числе специальной копией Системы КонсультантПлюс) для нужд ГКУ ПО ""ОЦЗН"" в 2024 году",62.02.20.190: Услуги консультативные в области компьютерных технологий прочие,29.01.2024
1308,№0302300048724000052,Оказание информационных услуг по освещению деятельности ОМСУ г.Улан-Удэ в информационно-телекоммуникационной сети «Интернет» с обязательным размещением отобранных материалов в периодическом печатном издании,63.11.12.000: Услуги по размещению в информационно-коммуникационной сети Интернет,29.01.2024
1309,№32413224801,Услуги по автоматизации процессов ведения журналов проб в ГБУ «Кропоткинская краевая ветеринарная лаборатория» («Базовый ресурс автоматизации»),62.03.12.130: Услуги по сопровождению компьютерных систем,29.01.2024
1310,№0127200000224000006,"Поставка сертификата активации сервиса совместной технической поддержки для ПАК ViPNet Coordinator HW 1000 4.x, уровень ""Расширенный"", на срок 1 год, сеть №4623",62.02.30.000: Услуги по технической поддержке информационных технологий,18.01.2024
1311,№0844300040124000002,"Оказание услуг по адаптации и сопровождению экземпляров систем КонсультантПлюс на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными в Муниципальном казенном учреждении ""Управление хозяйственного обеспечения Суджанского района Курской области"" экземплярами систем КонсультантПлюс (в том числе специальная копия системы)для нужд Муниципального казенного учреждения ""Управление хозяйственного обеспечения Суджанского района Курской области"" ",62.03.12.130: Услуги по сопровождению компьютерных систем,29.01.2024
1312,№0369600036024000006,"Услуга по продлению неисключительных прав использования (простая неисключительная лицензия) электронной базы данных, содержащей актуальную консультационную и нормативно-правовую информацию по основным направлениям деятельности экономических служб медорганизаций(бюджетных, казенных, муниципальных, федерального подчинения, коммерческих) для нужд ГБУЗ ""Районная больница с. Кизильское""",63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя,29.01.2024
1313,№0372200138624000004,Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс 2024 года,62.03.12.130: Услуги по сопровождению компьютерных систем,29.01.2024
1314,№32413224767,"Услуги по сопровождению программных продуктов интегрированной информационной системы ""КУБНЕТ""",62.03.12.130: Услуги по сопровождению компьютерных систем,29.01.2024
1315,№32413224764,Открытый конкурс в электронной форме среди СМСП на право заключения договора на оказание услуг по адаптации и установке адаптированных ИСС Техэксперт,62.03: Услуги по управлению компьютерным оборудованием,29.01.2024
1316,№0822200000224000005,Поставка электронного периодического справочника,"63.99.1: Услуги информационные прочие, не включенные в другие группировки",22.01.2024
1317,№1009600000424000002,"Оказание услуг по сопровождению ранее приобретенных экземпляров текущих версий СИМ «Система ГАРАНТ», содержащих информацию о текущем состоянии законодательства Российской Федерации, после их адаптации под потребности Заказчика, путем предоставления в электронном виде по каналам связи посредством телекоммуникационной сети Интернет",62.03.12.130: Услуги по сопровождению компьютерных систем,29.01.2024
1318,№32413224744,"Услуги по информационному обслуживанию программных продуктов «1С: Бухгалтерия государственного учреждения 8», «1С: Зарплата и кадры государственного учреждения 8»",62.03.12.130: Услуги по сопровождению компьютерных систем,29.01.2024
1319,№0318200041824000004,Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»,62.02.30.000: Услуги по технической поддержке информационных технологий,29.01.2024
1320,№0818300022724000004,"Оказание услуг по техническому сопровождению программных продуктов «АС «Бюджет», АС «УРМ», ПО «Сервер обмена данными», а также дополнительных программных модулей и функционала к этим программным продуктам",62.02.30.000: Услуги по технической поддержке информационных технологий,29.01.2024
1321,№0816500000624000236,Оказание услуг по предоставлению права использования на условиях простой (неисключительной) лицензии баз данных электронных систем «Госфинансы»,63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя,29.01.2024
1322,№0171300012724000002,Оказание услуг по информационно-техническому сопровождению программных продуктов «1С: Бухгалтерия государственного учреждения 8» и «1С: Зарплата и кадры бюджетного учреждения 8» на 2024год,62.03.12.130: Услуги по сопровождению компьютерных систем,29.01.2024
1323,№0162200011824000091,Услуги по организации новых автоматизированных рабочих мест для медицинской информационной системы ПК «АДИС»,62.02.20.140: Услуги по подготовке компьютерных систем к эксплуатации,29.01.2024
1324,№0846600001924000012,Оказание услуг по предоставлению доступа к программному комплексу «АРМ-НПА» и его информационно-технологическому сопровождению,"63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки",29.01.2024
