Реестровый номер закупки;Наименование закупки;Классификация по ОКПД2;Дата размещения
№32413170042;Неисключительные права использования базы данных Система Госфинансы Плюс;63.11.1: Услуги по обработке данных, размещению, услуги по предоставлению приложений и прочей инфраструктуры информационных технологий, услуги, связанные с созданием и использованием баз данных и информационных ресурсов;12.01.2024
№32413169961;Оказание услуг по очному консультированию, установке, тестированию, разработке нового функционала, адаптации и модификации программных средств на   платформе 1С: Предприятие 8: конфигурации «1С: Бухгалтерия государственного учреждения 8», конфигурации «1С: Зарплата государственного учреждения» Портал СУФД (Системы Удаленного Финансового Документооборота) с УФК, Порталы ЕИС и ГМУ, Системы АЦК-Госзаказ и АЦК-Финансы;62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№32413168746;"Оказание услуг по сопровождению и обслуживанию программы ""1С: Предприятие""";62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№32413169171;Услуги по сопровождению (включая модификацию) программного комплекса «Медицинская информационная система»;62.02.30.000: Услуги по технической поддержке информационных технологий;12.01.2024
№32413169875;"Адаптации и сопровождения экземпляров систем ""КонсультантПлюс""";62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;12.01.2024
№32413169478;Договор оказания услуг;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;12.01.2024
№32413169864;Закупка услуг по системному администрированию локальной вычислительной сети и техническому обслуживанию компьютерной техники и программного обеспечения;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;12.01.2024
№32413169439;Оказание услуг по техническому обслуживанию компьютерного оборудования и оргтехники ;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;12.01.2024
№32413168801;"оказание услуг информационно-технологического сопровождения программных продуктов 1С ""1С:КП ГУ ПРОФ на 12 месяцев""";62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№32413169125;Оказание услуг в предоставлении технической поддержки по заполнению информации ГИС ЖКХ;62.02.30.000: Услуги по технической поддержке информационных технологий;12.01.2024
№32413169776;Закупка у единственного поставщика на оказание услуг по мониторингу цен строительных ресурсов;63.99.10.110: Услуги по поиску информации за вознаграждение или на договорной основе;12.01.2024
№0352300172924000001;Программная система управления доступом к информационным ресурсам;62.01.29.000: Оригиналы программного обеспечения прочие;12.01.2024
№32413168660;Оказание услуг по консультационно технологическому сопровождению;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;12.01.2024
№32413169739;Организация и предоставление услуги «Call-центр»;63.99.10.110: Услуги по поиску информации за вознаграждение или на договорной основе;12.01.2024
№32413169076;"""Оказание услуг по ежемесячному сопровождению (обслуживанию) адаптированных (модифицированных) программных продуктов и баз данных и выполнение работ по конфигурированию (адаптации или модификации) программных продуктов и баз данных на платформе ""1С: Предприятие"": Бухгалтерия предприятия КОРП, Управление автотранспортом Стандарт, Зарплата и управление персоналом, Общепит, Документооборот КОРП"" для нужд АО ""Оренбургкоммунэлектросеть""";62.02.30.000: Услуги по технической поддержке информационных технологий;12.01.2024
№32413169710;Антивирус Касперского KES (60 lic);62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№32413169659;Оказание услуг по адаптации и сопровождению экземпляров Систем «КонсультантПлюс» на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у заказчика экземплярами Систем «КонсультантПлюс»;62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№32413169625;Оказание  услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемых на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика  экземплярами Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№32413169224;Услуги по сопровождению программы  ;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;12.01.2024
№32413169560;Услуги предоставления права пользования информационно-правовой системой «Консультант+»;62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№32413169535;Услуга по информационно-технологическому сопровождению программного продукта 1С.;62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№32413168620;Оказание услуг по информационному сопровождению, поддержанию справочно-правовой системы КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№32413163587;Оказание услуг по адаптации и сопровождению экземпляров Системы КонсультантПлюс ;62.03.12.130: Услуги по сопровождению компьютерных систем;10.01.2024
№32413169412;Услуги по обновлению и сопровождению справочно-правовых установленных систем.;62.03.12.120: Услуги по управлению компьютерными системами дистанционно;12.01.2024
№32413168881;Оказание услуг сервисного обслуживания информационной  инфраструктуры ГАУЗ ТО «Городская поликлиника № 17», предоставления доступа к сети «Интернет» и услуг телефонной связи;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;12.01.2024
№32413169239;услуги по техническому обслуживанию защищённого подключения РСМЭВ к ФСМЭВ и предоставлению каналов передачи данных;62.02.30.000: Услуги по технической поддержке информационных технологий;12.01.2024
№32413169165;Сопровождение СПС Консультант Плюс;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;12.01.2024
№32413168541;Услуги, обеспечивающие эффективную эксплуатацию персоналом Заказчика Государственной информационной системы в сфере здравоохранения Республики Башкортостан, используемой ГАУЗ РБ Детская стоматологическая поликлиника № 3 г.Уфа;62.02.30.000: Услуги по технической поддержке информационных технологий;11.01.2024
№32413168586;"Оказание услуг по адаптации и сопровождению экземпляров систем КонсультантПлюс на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодейтсвие) услуг с ранее установленными в Акционерном обществе ""Водоканал"" экземплярами систем КонсультантПлюс для нужд Акционерного общества ""Водоканал""";63.11.19.000: Услуги прочие по размещению и предоставлению инфраструктуры информационных технологий;11.01.2024
№32413168574;Оказание услуг на право предоставления использования программы «Лицензия на ПО Кинокасса. Тариф расширенный»   для нужд Санкт-Петербургского государственного автономного учреждения культуры «Кинотеатр «Аврора»;62.01.1: Услуги по проектированию, разработке информационных технологий для прикладных задач и тестированию программного обеспечения;11.01.2024
№32413168569;предоставление на условиях простой (неисключительной) лицензии права использования программного обеспечения «Комплексная система оценки качества оказания медицинской помощи»;62.03.12.130: Услуги по сопровождению компьютерных систем;11.01.2024
№32413168567;"Оказание услуг по адаптации и сопровождению экземпляров систем КонсультантПлюс в унифицированном комплекте для нужд филиала ППК ""Роскадастр"" по Омской области";62.02.30.000: Услуги по технической поддержке информационных технологий;11.01.2024
№32413166980;Абонентское обслуживание автоматизированной продажи входных билетов;63.11.1: Услуги по обработке данных, размещению, услуги по предоставлению приложений и прочей инфраструктуры информационных технологий, услуги, связанные с созданием и использованием баз данных и информационных ресурсов;11.01.2024
№32413168539;Услуги поставки, адаптации и сопровождения экземпляров Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;11.01.2024
№32413168502;"Оказание информационных услуг по сопровождению ранее установленной Справочной Правовой Системы ""КонсультантПлюс""";62.02.30.000: Услуги по технической поддержке информационных технологий;11.01.2024
№32413168494;Оказание услуг по ТО АУП по адресу: СПб, Саперный пер. 11;62.02.30.000: Услуги по технической поддержке информационных технологий;11.01.2024
№32413168366;"Услуги по ежемесячному сопровождению программных продуктов фирмы ""1 С""";62.03.12.130: Услуги по сопровождению компьютерных систем;11.01.2024
№32413166482;Обслуживание программы 1С;62.03.12.130: Услуги по сопровождению компьютерных систем;11.01.2024
№32413168429;Оказание услуг по информационно-техническому сопровождению портала и организации почтовой службы ;62.03.12.120: Услуги по управлению компьютерными системами дистанционно;11.01.2024
№32413168427;Оказание услуг по размещению рекламных и(или) рекламно-информационных материалов для нужд ФГУП «ВНИИМ им.Д.И.Менделеева»;63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;11.01.2024
№32413168362;Оказание услуг по сопровождению АИС «Электронный социальный регистр населения Чувашской Республики»;62.03.12.130: Услуги по сопровождению компьютерных систем;11.01.2024
№32413168402;Предоставление права пользования информационно-аналитической системой «Медиалогия» на условиях простой (неисключительной) лицензии;62.02.30.000: Услуги по технической поддержке информационных технологий;11.01.2024
№32413167763;Договор поставки, адаптации и сопровождения экземпляров Системы Консультант плюс;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;11.01.2024
№32413168254;Оказание услуг по сопровождению информационно- правовой системы ;62.02.30.000: Услуги по технической поддержке информационных технологий;11.01.2024
№32413168231;Абонентское сопровождение программных продуктов фирмы «1С» версии 8.х;62.03.12.130: Услуги по сопровождению компьютерных систем;11.01.2024
№32413168208;"Оказание услуг по предоставлению простых (неисключительных) прав на использование программного обеспечения для нужд ФГУП ""Охрана"" Росгвардии ";62.01.29.000: Оригиналы программного обеспечения прочие;11.01.2024
№32413167525;Оказание услуг в сопровождении программных средств бухгалтерского учета;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;11.01.2024
№32413168155;оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемых на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс (в том числе специальной копией Системы КонсультантПлюс);62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;11.01.2024
№0358300032224000002;Оказание услуг по сопровождению и обновлению программного обеспечения автоматизированных информационных систем Комитета по управлению имуществом города Волгодонска;62.03.12.130: Услуги по сопровождению компьютерных систем;02.01.2024
№32413167874;Услуги по технической поддержке и сопровождению программного продукта Utility Payment 3.0 «Смородина» для нужд ООО «ОРЦ» (пролонгация Договора от 28.01.2022 № ОРЦ/22-013);62.02.30.000: Услуги по технической поддержке информационных технологий;11.01.2024
№0358300032224000001;Оказание услуг по сопровождению и обновлению программного обеспечения автоматизированных информационных систем Комитета по управлению имуществом города Волгодонска;62.03.12.130: Услуги по сопровождению компьютерных систем;02.01.2024
№32413165441;"Оказание услуг по предоставлению доступа к информационно-правовым базам типа ""Консультант плюс"" в г. Новосибирск";63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;11.01.2024
№32413167842;Предоставление неисключительных прав на программный комплекс «Utility Payment 3.0» для нужд ООО «ОРЦ» (пролонгация Договора № ОРЦ/22-015 от 31.01.2022);62.02.30.000: Услуги по технической поддержке информационных технологий;11.01.2024
№32413168125;"Оказание услуг по адаптации и сопровождению с использованием экземпляров Систем КонсультантПлюс для нужд филиала ППК ""Роскадастр"" по Воронежской области";62.02.20.130: Услуги по обучению пользователей;11.01.2024
№32413165391;"Оказание услуг по предоставлению доступа к информационно-правовым базам типа ""Консультант плюс"" в г. Хабаровске";63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;11.01.2024
№32413167792;Выполнение работ по ежемесячному обслуживанию программного продукта «1С: Предприятие 8»;62.03.12.130: Услуги по сопровождению компьютерных систем;11.01.2024
№32413167353;Закупка в электронном магазине с участием субъектов малого и среднего предпринимательства;62.03.12.130: Услуги по сопровождению компьютерных систем;11.01.2024
№32413167689;Оказание услуг по  обслуживанию программного обеспечения «1С: Предприятие»;62.03.12.130: Услуги по сопровождению компьютерных систем;11.01.2024
№32413167977;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс;63.91.12.000: Услуги информационных агентств, предоставляемые аудиовизуальным средствам массовой информации;11.01.2024
№32413167610;"Услуги по выполнению работ по сопровождению программного продукта системы ""1С:Предприятие""";62.02.30.000: Услуги по технической поддержке информационных технологий;11.01.2024
№32413167956;Оказание услуг по сопровождению автоматизированной справочно-правовой системы «Система ГАРАНТ»;62.03.12.130: Услуги по сопровождению компьютерных систем;11.01.2024
№32413167574;Услуги по эксплуатации и развитию информационной системы;62.02.30.000: Услуги по технической поддержке информационных технологий;11.01.2024
№32413161319;Передача неисключительных прав использования бухгалтерской справочной системы «Система Главбух», кадровой справочной системы «Система Кадры»;"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";10.01.2024
№32413167450;Услуги по информационно-технологическому сопровождению бухгалтерских программ семейства 1С:Бухгалтерия ;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;11.01.2024
№32413167429;"Услуги по информационно-технологическому сопровождению бухгалтерских программ семейства 1С:Бухгалтерия «Учет квартплаты и работа с должниками""";62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;11.01.2024
№32413167797;сопровождение экземпляров систем «КонсультантПлюс»;62.03.12.130: Услуги по сопровождению компьютерных систем;11.01.2024
№32413167795;Оказание консультационных услуг и техническая поддержка пользователей КСАМУ;62.02.30.000: Услуги по технической поддержке информационных технологий;11.01.2024
№32413166779;Услуги по абонентскому обслуживанию ПО «Аптека-Урал»;62.02: Услуги консультативные, связанные с компьютерной техникой;11.01.2024
№32413167652;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, иного программного обеспечения, на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с ранее установленными и принадлежащими Заказчику экземплярами Систем КонсультантПлюс (в том числе специальной копии Систем КонсультантПлюс) ;62.03.12.130: Услуги по сопровождению компьютерных систем;11.01.2024
№32413164357;"Оказание услуг по предоставлению доступа к информационно-правовым базам типа ""Консультант плюс"" в г. Владивосток";63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;11.01.2024
№32413162315;"Обновление и сопровождение информационно-справочной системы ""Техэксперт""";62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;10.01.2024
№32413166613;Оказание услуг по предоставлению онлайн - доступа к системе нормативно – технической документации в соответствии с техническим заданием;62.02.30.000: Услуги по технической поддержке информационных технологий;11.01.2024
№32413164736;Оказание информационных услуг с использованием Системы Консультант Плюс;62.02.20: Услуги консультативные по вопросам систем и программному обеспечению;11.01.2024
№32413167414;Электронный аукцион на предоставление имущественных прав, на условиях простой (неисключительной) лицензии на использование программных модулей Медико-экономической платформы МедСофтЛаб.Online, а также на услуги по их внедрению  для нужд ГБУЗ «ДГП № 132 ДЗМ»;62.02.30.000: Услуги по технической поддержке информационных технологий;11.01.2024
№32413167390;" очное консультирование по следующим программным продуктам 1С:Бухгалтерия государственного учреждения 8; 1С: Зарплата и кадры государственного учреждения 8;";62.02.30.000: Услуги по технической поддержке информационных технологий;11.01.2024
№32413166906;"№215 Оказание услуг по модификации и сопровождению модифицированной информационно-справочной системы «Техэксперт» для нужд МУП Г.ИЖЕВСКА ""ИЖВОДОКАНАЛ""";62.02.30.000: Услуги по технической поддержке информационных технологий;11.01.2024
№32413167336;Услуги по поставке и/или адаптации и сопровождению экземпляра(ов) Систем(ы) КонсультантПлюс;63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;11.01.2024
№32413164902;"Закупка у единственного поставщика (исполнителя, подрядчика) услуг по адаптации и сопровождению экземпляров систем КонсультантПлюс для нужд ГАУЗ ""КСП""";62.03.12.130: Услуги по сопровождению компьютерных систем;11.01.2024
№32413166826;Оказание услуг по адаптации и сопровождению экземпляров Системы КонсультантПлюс;62.02.10.000: Услуги консультативные по компьютерному оборудованию;11.01.2024
№32413167285;Оказание информационных услуг по обновлению и сопровождению справочно-правовой системы «КонсультантПлюс» установленной в МУП «Смоленсктеплосеть» ;63.11.19.000: Услуги прочие по размещению и предоставлению инфраструктуры информационных технологий;11.01.2024
№32413165651;ОКАЗАНИЕ УСЛУГ ПО АДАПТАЦИИ И СОПРОВОЖДЕНИЮ ЭКЗЕМПЛЯРОВ СИСТЕМ КОНСУЛЬТАНТПЛЮС НА ОСНОВЕ СПЕЦИАЛЬНОГО ЛИЦЕНЗИОННОГО ПРОГРАММНОГО ОБЕСПЕЧЕНИЯ, ОБЕСПЕЧИВАЮЩЕГО СОВМЕСТИМОСТЬ УСЛУГ С УСТАНОВЛЕННЫМИ В Муниципальном автономном общеобразовательном учреждении «Средняя общеобразовательная школа №1 с. «ЭКЗЕМПЛЯРАМИ СИСТЕМ КОНСУЛЬТАНТПЛЮС ДЛЯ НУЖД Муниципального автономного общеобразовательного учреждения «Средняя общеобразовательная школа №1 с. Александровское»;62.03.12.130: Услуги по сопровождению компьютерных систем;11.01.2024
№32413167243;оказание услуг по предоставлению доступа к информационно-справочной системе «Техэксперт: Базовые нормативные документы. Лаборатория»;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;11.01.2024
№32413167207;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у Заказчика экземплярами Систем КонсультантПлюс, для нужд администрации Иловлинского муниципального района Волгоградской области в 2024 году;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;11.01.2024
№32413161873;Оказание услуг по информационному сопровождению (обновлению) комплектов (экземпляров) справочной правовой системы «Консультант Плюс».;62.03.12.130: Услуги по сопровождению компьютерных систем;10.01.2024
№32413167093;Поставка, адаптация и сопровождения экземпляров систем Консультантплюс;62.02.30.000: Услуги по технической поддержке информационных технологий;11.01.2024
№32413167063;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у Заказчика экземплярами Систем КонсультантПлюс.;62.03.12.130: Услуги по сопровождению компьютерных систем;11.01.2024
№32413164738;"Услуги по адаптации и сопровождению  экземпляров  системы ""Консультант плюс""";63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;11.01.2024
№32413167046;"Предоставление услуги по по адаптации и модификации компьютерного программного обеспечения и баз данных «1С:Предприятие» ""1С:Предприятие 8.3"" (адаптация, модернизация, обновление, тестирование и доработка программного обеспечения) на 2024 г.";62.01.29.000: Оригиналы программного обеспечения прочие;11.01.2024
№32413164554;Оказание услуг, обеспечивающих эффективную эксплуатацию персоналом ГАУЗ РКОД Минздрава РБ Государственной информационной системы в сфере здравоохранения Республики Башкортостан (ГИСЗ РБ)											  ;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;11.01.2024
№32413166975;Оказание услуг по представлению данных о ставках сборов на заправку воздушных судов, авиационного керосина, авиационного бензина, ПВК гражданского назначения и их хранения, по полной базе данных респондентов;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;11.01.2024
№32413166965;"Работы по ежемесячному обслуживанию программного продукта ""1С:Предприятие""";62.02.30.000: Услуги по технической поддержке информационных технологий;11.01.2024
№32413166937;Оказание услуг по информационному обслуживанию;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;11.01.2024
№32413166900;Оказание услуг по информационному обслуживанию;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;11.01.2024
№32413166882;Услуги по организации видеонаблюдения в парке «Юбилейный» города Ярославля;63.11.21.000: Услуги по передаче потокового видео;11.01.2024
№32413166069;Оказание услуг по доработке (внесению изменений) используемых на предприятии конфигураций 1С.;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;11.01.2024
№32413166406;"№29 Оказание услуг по сопровождению Электронного периодического справочника для нужд БУЗ УР ""УРЦ СПИД и ИЗ""";62.03.12.130: Услуги по сопровождению компьютерных систем;11.01.2024
№32413166398;"Запрос котировок в электронной форме для заключения договора на предоставление услуг ИСС ""Техэксперт""- программное обеспечение для нужд ООО «Самарские коммунальные системы» в 2024-2025 годах. (СКС-3034)";63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;11.01.2024
№32413166754;Оказание услуг по предоставлению сервиса передачи коротких текстовых сообщений (СМС-информирование) (ЭЗК 001/223/24);63.99.10.140: Услуги компьютерные информационные телефонной связи;11.01.2024
№32413166334;"Запрос котировок в электронной форме для заключения договора на предоставление услуг справочной системы ""КонсультантПлюс"" для нужд ООО «Самарские коммунальные системы» в 2024-2025 годах. (СКС-3033)";63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;11.01.2024
№32413165907;"Адаптация, модификация, сопровождение и консультационные услуги по работе с программными продуктами ""1С"" ";62.01.29.000: Оригиналы программного обеспечения прочие;11.01.2024
№32413164592;Услуги по сопровождению справочной системы;62.03.12.130: Услуги по сопровождению компьютерных систем;11.01.2024
№32413166670; Предоставление услуги по сопровождению программного комплекса «Электросеть» версии «Эксперт»;62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки;11.01.2024
№32413166637;"Оказание услуг по реализации механизмов оплаты и взаимодействия МИС АУЗ ВО ""ВОККДЦ"" с операторами Сбер и СБП ля нужд АУЗ ВО ""ВОККДЦ"" ";62.01.29.000: Оригиналы программного обеспечения прочие;11.01.2024
№32413165533;Справочно правовая система КонсультантПлюс;62.02.20.130: Услуги по обучению пользователей;11.01.2024
№32413166624;Оказание услуг Специализированной организацией по информационно-консультационному и техническому сопровождению закупок товаров, работ, услуг в соответствии с Федеральным законом от 18 июля 2011 года № 223-ФЗ «О закупках товаров, работ, услуг отдельными видами юридических лиц»;62.03.12.130: Услуги по сопровождению компьютерных систем;11.01.2024
№32413166617;Услуги по сопровождению программного обеспечения (ПО) «1С»;62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки;11.01.2024
№32413165018;Услуги по абонентскому обслуживанию оборудования, принадлежащего заказчику;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;11.01.2024
№32413166554;"Оказание услуг по информационно-технической поддержке модуля выставления счетов ОМС в 2024 году для нужд АУЗ ВО ""ВОККДЦ"" ";62.01.29.000: Оригиналы программного обеспечения прочие;11.01.2024
№32413164972;Услуги по абонентскому обслуживанию оборудования, принадлежащего заказчику;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;11.01.2024
