sentiment,Классификация по ОКПД2_x,Наименование закупки_x,Реестровый номер закупки,Закупки по,Дата размещения
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,Оказание услуг по доработке подсистемы «Система долговременного ухода» государственной информационной системы «Единый социальный регистр населения Тамбовской области» в части ее дополнения подсистемой графического представления статистической информации с целью осуществления участниками системы долговременного ухода мониторинга и контроля процессов предоставления гражданам услуг долговременного ухода,№0164200001923003198,44-ФЗ,27.09.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие,Поставка аналитической платформы для автоматизированной системы персональных коммуникаций на основе использования больших данных,№0173200001423001478,44-ФЗ,26.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по технической поддержке программно-аппаратного комплекса «Лица Победы»,№0373100009823000080,44-ФЗ,19.09.2023
Скорее нет,63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя; 62.03.12.130: Услуги по сопровождению компьютерных систем,"Оказание услуг по передаче неисключительных прав (лицензии) на использование Программы для ЭВМ ""АИС Культурный регион"", а также её сопровождению и технической поддержке",№0361200015023005607,44-ФЗ,27.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,Оказание услуг по сопровождению установленного у заказчика электронного периодического справочника «Система ГАРАНТ»,№0162200001323000012,44-ФЗ,22.09.2023
Скорее да,62.03.12.130: Услуги по сопровождению компьютерных систем,Оказание услуг по информационно-техническому сопровождению автоматизированной информационной системы обеспечения градостроительной деятельности муниципального образования Алтайского района Алтайского края,№0817200000323015566,44-ФЗ,28.09.2023
Не подходит,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",Оказание услуг по программному сопровождению (технической поддержке) медицинской информационной системы и средства автоматизации учета (Реестровый номер 2023.065599),№0352300015823000089,44-ФЗ,28.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,"Оказание услуг по техническому сопровождению программных продуктов Vip Net, входящих в состав защищенного сегмента системы электронного взаимодействия ХМАО-Югры в городе Когалыме ",№0187300013723000346,44-ФЗ,22.09.2023
Не подходит,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",Оказание услуг по размещению систем и программного обеспечения на программно-аппаратных мощностях центра обработки данных,№0744200000223007408,44-ФЗ,22.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Техническое сопровождение созданного узла доступа к системе МЭДО,№0373100088323000022,44-ФЗ,26.09.2023
Не подходит,62.01.12.000: Услуги по проектированию и разработке информационных технологий для сетей и систем,Создание автоматизированной системы Интегрированная система пропуска через государственную границу Российской Федерации (в рамках ИКТ),№0373100063323000058,44-ФЗ,27.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,Оказание услуг по развитию информационной системы межведомственного электронного взаимодействия Республики Марий Эл и реализации механизма взаимодействия с витринами данных,№0108500000423001417,44-ФЗ,20.09.2023
Не подходит,"62.02.3: Услуги по технической поддержке информационных технологий; 62.09.2: Услуги в области информационных технологий и компьютерные услуги прочие, не включенные в другие группировки","Оказание услуг по установке, настройке и переводу почтового сервера, имеющегося у заказчика, на сертифицированную отечественную операционную систему с установкой сертифицированных средств защиты с последующим техническим сопровождением до 31.12.2024",№0108500000423001418,44-ФЗ,20.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,Оказание услуг по интеграции программы для ЭВМ «Автоматизация контрольно-надзорной деятельности (Ревизор-СМАРТ)» и единой межведомственной системы документооборота Краснодарского края в Контрольно-счетной палате Краснодарского края,№0318200043123000013,44-ФЗ,28.09.2023
Не подходит,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",Оказание услуг по проведению аттестационных мероприятий по защите персональных данных семи АРМ для нужд Министерства общественной безопасности Челябинской области,№0869200000223008170,44-ФЗ,26.09.2023
Не подходит,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",Оказание услуг по обеспечению функционирования сервиса «Централизованная система хранения и обработки результатов диагностических исследований (медицинских изображений)» (ЦАМИ),№0108500000423001535,44-ФЗ,28.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,"Оказание услуг по сопровождению ранее установленного Электронного периодического справочника «Система ГАРАНТ» (информационного продукта вычислительной техники) (далее — ЭПС «Система ГАРАНТ»), содержащей информацию о текущем состоянии законодательства Российской Федерации, путем предоставления в электронном виде по каналам связи посредством    телекоммуникационной сети Интернет формируемых Исполнителем текущих версий    специальных информационных массивов (далее — СИМ) ЭПС «Система ГАРАНТ»",№0330300093123000061,44-ФЗ,29.09.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие,Продление неисключительных (пользовательских) прав на антивирусное программное обеспечение,№0332100018923000042,44-ФЗ,28.09.2023
Не подходит,"63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки",Оказание услуг по предоставлению доступа к электронной базе «Консультант врача. Электронная медицинская библиотека»,№0317100025123000066,44-ФЗ,28.09.2023
Не подходит,62.03.12.110: Услуги по управлению компьютерными системами непосредственно,"Оказание услуг по предоставлению простой неисключительной лицензии на использование базы данных Электронная Система Госфинансы, Электронная Система Госзаказ",№0301600001723000003,44-ФЗ,29.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Услуги по предоставлению сертификата на оказание услуг по техническому сопровождению программных комплексов ViPNet Client защищенной сети ViPNet № 541,№0318200030823000015,44-ФЗ,29.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Поставка сертификатов активации сервиса совместной технической поддержки средств защиты информации,№0335200012323000163,44-ФЗ,29.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,"Оказание услуг по сопровождению программных продуктов системы «1С: Предприятие 8» (почасовое обслуживание) для нужд МВД по Республике Марий Эл, включая территориальные органы и ФКУ «ЦХ и СО МВД по Республике Марий Эл» в сфере применения ИКТ",№0108100003723000018,44-ФЗ,27.09.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие,Поставка программного обеспечения,№0173200023323000069,44-ФЗ,26.09.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие,Поставка сертификатов на техническую поддержку программного обеспечения лабораторной информационной медицинской системы,№0873500000623000027,44-ФЗ,26.09.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие,Поставка сертификатов технической поддержки учебного программного обеспечения,№0373200640923000070,44-ФЗ,26.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"Оказание услуг по обеспечению функционирования, адаптации и модификации системы межведомственного электронного документооборота в Ставропольском крае для обеспечения нужд Ставропольского края",№0821200000923000024,44-ФЗ,28.09.2023
Не подходит,"62.09.2: Услуги в области информационных технологий и компьютерные услуги прочие, не включенные в другие группировки",Услуги по поддержке независимых номерных ресурсов выделенных интернет-регистратором,№0335300000223000837,44-ФЗ,28.09.2023
Не подходит,"62.09.10.000: Услуги по установке компьютеров и периферийного оборудования; 26.30.11.110: Средства связи, выполняющие функцию систем коммутации; 26.20.14.100: Серверы; 58.29.11.000: Системы операционные на электронном носителе; 62.01.29.000: Оригиналы программного обеспечения прочие; 26.20.40.144: Системы и средства с преобладающими функциями криптографической защиты, программные, программно-аппаратные, аппаратные; 62.09.20.120: Услуги по установке программного обеспечения; 26.20.15.150: Автоматизированное рабочее место; 26.20.16.190: Устройства ввода/вывода данных прочие","Поставка оборудования, сертификатов на установку и настройку программного обеспечения, передачу неисключительных прав на использование программного обеспечения и пусконаладочные работы для обеспечения целостности данных, передаваемых из Единой биометрической системы",№0373100070923000022,44-ФЗ,27.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по сопровождению и обслуживанию бухгалтерских программ,№0373100031723000020,44-ФЗ,25.09.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие,Передача неисключительных прав на программное обеспечение MaxPatrol VM и дополнительные лицензии MaxPatrol SIEM,№0373500001423000202,44-ФЗ,25.09.2023
Не подходит,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,Оказание услуг по передаче права использования программы для электронных вычислительных машин «Программный комплекс автоматизации станций скорой медицинской помощи (ПК «АДИС»)» на условиях простой (неисключительной) лицензии и оказание услуг по ее внедрению для расширения функциональных возможностей централизованной подсистемы «Управление скорой и неотложной медицинской помощью (включая управление санавиацией)» ГИСЗ Республики Хакасия,№0380200000123006295,44-ФЗ,27.09.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие,Передача неисключительного права на использование антивирусного программного средства,№0322200000223000035,44-ФЗ,27.09.2023
Не подходит,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",Оказание услуг по сопровождению прикладного программного обеспечения (программ для ЭВМ) Регионального сегмента единой государственной информационной системы в сфере здравоохранения в Ростовской области (РС ЕГИСЗ),№0358300437023000045,44-ФЗ,27.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по сопровождению лабораторной информационной системы «Ариадна» в 2024 году,№0372100041323000594,44-ФЗ,26.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по сопровождению медицинской информационной системы «Ариадна» в 2024 году,№0372100041323000595,44-ФЗ,26.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по предоставлению сертификата на техническое сопровождение программных комплексов ViPNet,№0318200022523000017,44-ФЗ,29.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Техническое обслуживание серверной и компьютерной техники,№0179100002223000003,44-ФЗ,28.09.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие,Оказание услуг по защите информации,№0358200029123000063,44-ФЗ,27.09.2023
Не подходит,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",Оказание услуг по технической поддержке в области информационных технологий,№0118300003723000423,44-ФЗ,26.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,Оказание услуг по программному сопровождению (технической поддержке) модуля «Интеграция» медицинской информационной системы «Медея» (Реестровый номер 2023.066690),№0352300034423000070,44-ФЗ,29.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,Услуги по предоставлению сертификата на оказание услуг по техническому сопровождению программных комплексов ViPNet Client,№0818500004323000013,44-ФЗ,27.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,Приобретение права использования операционной системы «Альт Рабочая Станция»,№32312633210,223-ФЗ,01.08.2023
Не подходит,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки","Оказание услуг по предоставлению права использования программы для ЭВМ, предназначенной для взаимодействия заказчика с удостоверяющим центром",№0387200027723000048,44-ФЗ,29.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»,№0318200037423000025,44-ФЗ,28.09.2023
Не подходит,62.02.3: Услуги по технической поддержке информационных технологий,Оказание услуг по предоставлению неисключительных прав (лицензий) на использование программного обеспечения ViPNet и сертификата активации сервиса совместной технической поддержки продуктов VIPNet,№0318200055423000025,44-ФЗ,28.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по передаче неисключительных прав использования комплекта электронных базы данных (простая неисключительная лицензия) для нужд ФГБУЗ МСЧ №97 ФМБА России в 2024 году.,№0331100001223000037,44-ФЗ,27.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,"Сопровождение государственной информационной системы РТ ""Бухгалтерский учет и отчетность государственных органов РТ и подведомственных им учреждений (ГИС РТ) на 4 квартал 2023г.",№0311300111723000140,44-ФЗ,27.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"Услуги по сопровождению и развитию программного комплекса ""1С""",№0362300113623000010,44-ФЗ,25.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по предоставлению доступа к Электронному периодическому справочнику «Система Гарант»,№0387200016423000051,44-ФЗ,27.09.2023
Не подходит,62.02.20.190: Услуги консультативные в области компьютерных технологий прочие,Услуги консультативные,№0142300025923000190,44-ФЗ,28.09.2023
Не подходит,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",Оказание услуг по сопровождению прикладного программного обеспечения (программ для ЭВМ) Регионального сегмента единой государственной информационной системы в сфере здравоохранения в Ростовской области (РС ЕГИСЗ) в 2023 году,№0358300077223000221,44-ФЗ,27.09.2023
Не подходит,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки","Услуги по сопровождению прикладного программного обеспечения (программ для ЭВМ) Регионального сегмента единой государственной информационной системы в сфере здравоохранения в Ростовской области (РС ЕГИСЗ) для ГБУ РО ""ЦРБ"" в Константиновском районе",№0358300251823000043,44-ФЗ,25.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,Оказание услуг по техническому сопровождению Регионального фрагмента ЕГИСЗ,№0103300007723000077,44-ФЗ,27.09.2023
Не подходит,"62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки",Сопровождение ПО,№0126100001523000018,44-ФЗ,22.09.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие,Приобретение  ПО (продление лицензий),№0126100001523000019,44-ФЗ,25.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по эксплуатации и сопровождению информационной системы «Комплекс программных средств «Виста-Мед» в 2024 году,№0372200046223000093,44-ФЗ,26.09.2023
Не подходит,74.90.20.149: Услуги (работы) в области защиты информации прочие; 58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение; 62.02.30.000: Услуги по технической поддержке информационных технологий,"Оказание услуг по предоставлению неисключительных (пользовательских) прав использования программных средств защиты информации, а также по их установке и настройке",№0173100008323000072,44-ФЗ,28.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по предоставлению ключа активации сервиса совместной технической поддержки уровня «Расширенный» для СЗИ Secret Net Studio 8 и передачи прав на использование модуля обнаружения и предотвращения вторжений СЗИ Secret Net Studio,№0275200000123000075,44-ФЗ,25.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,Оказание услуг по обеспечению доступа к технической поддержке производителя на компоненты защищенной сети Заказчика (ViPNet-сеть № 6702),№0851200000623007050,44-ФЗ,26.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по сопровождению автоматизированной системы доступа к нормативно-распорядительным документам Правительства Москвы ВОКАРТ в 2023 году (дополнение),№0173200000623000005,44-ФЗ,13.09.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие,Поставка программного обеспечения,№0373100076523000480,44-ФЗ,25.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по продлению сертификатов активации сервиса совместной технической поддержки и обновления программного обеспечения ViPNet для нужд Министерства цифрового развития Владимирской области,№0128200000123004885,44-ФЗ,26.09.2023
Не подходит,62.09.20.120: Услуги по установке программного обеспечения,Оказание услуг по поставке программного обеспечения  системы защиты приложений  от несанкционированного доступа для нужд центра  обработки данных учреждений  здравоохранения  Владимирской области.,№0128200000123004925,44-ФЗ,27.09.2023
Не подходит,62.02.3: Услуги по технической поддержке информационных технологий,Оказание услуг по технической поддержке информационных технологий,№0142200001323020675,44-ФЗ,25.09.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие; 62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по передаче (продление) неисключительных лицензионных прав и сертификата технической поддержки для системы защиты информации информационной системы судебных участков мировых судей Краснодарского края,№0818500000823006604,44-ФЗ,26.09.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие,Программное средство антивирусной защиты,№0848300062723000526,44-ФЗ,21.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по обновлению программной платформы Система электронного документооборота DIRECTUM 5 на Систему электронного документооборота Directum RX,№0301300247623000847,44-ФЗ,26.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,Оказание услуг по обеспечению функционирования (техническому сопровождению) Региональной медицинской информационной системы Иркутской области,№0134200000123003910,44-ФЗ,26.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по сопровождению программного комплекса «ТМ:ЦОД SaaS» в рамках Регионального сегмента Единой государственной информационной системы в сфере здравоохранения Белгородской области на 2024-2025гг.,№0826500000923007154,44-ФЗ,26.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по сопровождению информационной системы управления скорой и неотложной медицинской помощи Белгородской области на 2024-2025гг.,№0826500000923007157,44-ФЗ,26.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по обеспечению функционирования (техническому сопровождению) Региональной медицинской информационной системы Иркутской области,№0134200000123003947,44-ФЗ,27.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"Оказание услуг по техническому сопровождению средств защиты информации, эксплуатируемых в МИЦ СФР",№0273100001623000019,44-ФЗ,18.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"Оказание услуг по переносу серверного сегмента модуля скорой медицинской помощи Государственной информационной системы «Единая региональная медицинская информационная система Курганской области» на серверы регионального центра обработки данных, работающие под управлением операционной системы РЕД ОС 7.3 МУРОМ",№0843500000223006082,44-ФЗ,27.09.2023
Не подходит,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",Оказание услуг по обеспечению функционирования ( техническому сопровождению) региональной медицинской информационной системы Иркутской области,№0134200000123003903,44-ФЗ,26.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,Оказание услуг по подключению и сопровождению сегмента Единой системы электронного документооборота и делопроизводства исполнительных органов государственной власти Санкт-Петербурга в 2023-2024 гг.,№0372200000723000026,44-ФЗ,27.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуги по предоставлению сертификата на оказание услуг по техническому сопровождению программных комплексов ViPNet Client защищенной сети ViPNet № 541,№0318200036023000029,44-ФЗ,27.09.2023
Не подходит,62.02.3: Услуги по технической поддержке информационных технологий,Оказание услуг по обновлению платформы «1С-Битрикс: Управление сайтом»,№0322200000323000037,44-ФЗ,27.09.2023
Не подходит,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки","Оказание услуг по технической поддержке программного обеспечения ЛИС ""Ариадна""",№0817200000323015410,44-ФЗ,26.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,Оказание услуг по информационному сопровождению специализированного программного обеспечения «Автоматизированная система «Юридический анализ нормативных правовых актов Псковской области и муниципальных нормативных правовых актов «Кодекс» (регистрационный номер: 1128-А-ГЗ),№0157200000323001009,44-ФЗ,27.09.2023
Не подходит,58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение; 62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по поставке геоинформационного программного обеспечения,№0151200006023000377,44-ФЗ,26.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,Оказание услуги по технической поддержке и сопровождению программно-аппаратного комплекса,№0340200003323013549,44-ФЗ,26.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,Оказание услуги по технической поддержке и сопровождению программно-аппаратного комплекса,№0340200003323013550,44-ФЗ,26.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по техническому сопровождению компонентов Регионального сегмента Единой Государственной информационной системы здравоохранения Амурской области,№0123200000323001832,44-ФЗ,26.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,Оказание услуг по сопровождению справочно-правовой системы Гарант,№0356300076323000289,44-ФЗ,25.09.2023
Не подходит,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,Создание Второй очереди информационной системы «Прикладная платформа «Государственные и муниципальные услуги»,№0811500001123000047,44-ФЗ,14.09.2023
Не подходит,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки","Оказание услуг по технической поддержке и обновлению модуля АРМ «Поликлиника» «Комплексной медицинской информационной системы», функционирующего в медицинской организации",№0817200000323015366,44-ФЗ,26.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по поддержанию работоспособности Московского сегмента единой сети по работе с обращениями граждан государственных органов и органов местного самоуправления для обеспечения мероприятий по проведению общероссийского дня приема граждан,№0373200558323000079,44-ФЗ,18.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по обновлению программного обеспечения SecurOS Enterprise серверной группировки АПК «Безопасный город» на территории Калининградской области,№0835200001123000011,44-ФЗ,27.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по предоставлению сертификата на техническое сопровождение программных комплексов ViPNet,№0318200022923000064,44-ФЗ,27.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,Оказание услуг по настройке функциональных механизмов эксплуатируемой Медицинской Информационной Системы «Комплекс Программных Средств «Система Автоматизации Медико-Страхового Обслуживания Населения» «САМСОН»,№0372200029923000012,44-ФЗ,25.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,"Оказание услуги по внедрению (установке, адаптации, модификации, тестированию, техническому сопровождению) программных продуктов: «1С: Бухгалтерия государственного учреждения КОРП ред. 2.0»",№0846600002123000637,44-ФЗ,26.09.2023
